"ppe","esm","efm","egdd","points","class"
-181.899993896484,-14.3999996185303,11.1000003814697,1223,59.3905906677246,301
-176.100006103516,-13.1999998092651,13.3000001907349,1218,58.7038192749023,301
-88.3000030517578,8.10000038146973,32.2999992370605,848,24.9230403900146,501
-226.199996948242,-10.8000001907349,10.1000003814697,1225,59.4187507629395,311
-247.5,-1,25.6000003814697,1305,65.2406997680664,211
-177.199996948242,-4.59999990463257,17.6000003814697,1100,46.8499984741211,301
-179.899993896484,-14.1999998092651,9.69999980926514,1210,58.2244987487793,301
-230.399993896484,-16.8999996185303,4.09999990463257,1281,65.5666809082031,211
-222.100006103516,-12.8999996185303,9.19999980926514,1239,60.9414291381836,201
-216.600006103516,-16.2999992370605,6.19999980926514,1266,63.9426612854004,201
-187.5,-15.3999996185303,9.80000019073486,1241,61.2539596557617,201
-230.199996948242,-15.5,5.90000009536743,1267,64.0053176879883,211
-251.800003051758,-6.5,14.3000001907349,1250,61.2430000305176,211
-254.300003051758,-4.90000009536743,19.6000003814697,1302,65.6580581665039,211
-186.699996948242,-14.8999996185303,7.09999990463257,1202,57.6595611572266,301
-187.100006103516,-9.30000019073486,16.2999992370605,1176,54.3167991638184,301
-145.899993896484,-10.1000003814697,12.3999996185303,1115,48.8065490722656,301
-182.899993896484,-1.79999995231628,21.1000003814697,1076,44.3013191223145,401
-251.800003051758,-16,3.70000004768372,1317,68.9969100952148,211
-260.200012207031,-13.5,7.69999980926514,1297,66.6192626953125,211
-246.199996948242,-18.2000007629395,2.70000004768372,1309,68.4539489746094,211
-260.799987792969,-10.8999996185303,10.1999998092651,1301,66.6440734863281,211
-150.199996948242,0.100000001490116,24.1000003814697,1007,37.680061340332,401
-159.600006103516,-11.1999998092651,13.6999998092651,1167,53.7232513427734,301
-260.399993896484,-17.3999996185303,1.60000002384186,1348,72.2418365478516,211
-262.299987792969,-7.90000009536743,15,1316,67.5116424560547,211
-253.5,-4.09999990463257,21.8999996185303,1336,68.6099166870117,211
-238.199996948242,-19.7999992370605,1.20000004768372,1308,68.5768814086914,211
-117.099998474121,-5.69999980926514,15.5,1013,38.8302612304688,401
-208.100006103516,-17.2000007629395,4.40000009536743,1257,63.2559585571289,201
-257.899993896484,-19.2000007629395,1,1341,71.7436218261719,211
-263.799987792969,-13.8000001907349,8.69999980926514,1331,69.8178100585938,211
-264.5,-13.8000001907349,8.19999980926514,1326,69.3765563964844,211
