"slc","claySurface","claySubsurface","sandSurface","sandSubsurface","siltSurface","siltSubsurface","cfSurface","cfSubsurface","awhcSurface","awhcSubsurface","ppe","ocSurfacePerc","surfacePH","subsurfacePH","surfaceEC","subsurfaceEC","sarSurface","sarSubsurface","E_DEPTH","bd","egdd","a","m","f","v","n","y","c","d","sv","sn","sy","surfaceDeduction","prelimRating","points","class"
823005,20,23,41.3333333333333,34.5,39,42,1,2.5,16.3333333333333,72,-377.8,0.126666666666667,7.13333333333333,7.75,1.6,2.25,1.34956666666667,0.82365,166.2,1.33333333333333,1720,45.56,53.6609143353546,15,0,0,0,2.78083368112165,60.4679532163743,2.25375291544669,2.78083368112165,0,88.1788208071406,-41.8397351424953,-41.8397351424953,"7MD"
823006,17.6666666666667,20,48,39,34.6666666666667,40.5,0,1,15.6666666666667,67,-377.7,0.11,7.3,7.8,0,0,1.54666666666667,0.77835,200,1.33333333333333,1734,45.54,55.9661442512128,15,0,0,0,2.93666527959627,59.1417171717172,2.93666527959627,0,0,88.0283188340091,-43.9944630852219,-43.9944630852219,"7MD"
823007,26.3333333333333,25,42,44.5,32.3333333333333,31,3,3,18,64,-387.8,0.12,7.06666666666667,7.4,0,0,1.08333333333333,0.695,200,1.43333333333333,1777,47.56,58.2298594900393,15,0,0,0,0,54.82,0,0,0,80.1409032077856,-38.3707626978248,-38.3707626978248,"7MD"
823008,18.3333333333333,23,46.6666666666667,35.5,35.3333333333333,42.5,1,2.5,15.6666666666667,71.5,-390.5,0.113333333333333,7.23333333333333,7.85,0,0.6,1.31843333333333,0.89415,186.2,1.33333333333333,1797,48.1,57.3669761810209,15,0,0,0,3.65980652450137,59.1425272331155,3.65980652450137,0,0,88.5364534869022,-45.9034296679231,-45.9034296679231,"7MD"
828001,20.3333333333333,22.5,38.3333333333333,31.5,42,46.5,0,1,17.3333333333333,73,-361.1,0.126666666666667,7.23333333333333,7.8,1.6,1.75,1.32,0.7107,180,1.33333333333333,1741,42.22,48.1655957091276,15,0,0,0,2.93666527959627,63.3272124756335,2.93666527959627,0,0,91.1939116648745,-39.3595073740021,-39.3595073740021,"7MD"
828002,26.3333333333333,25,42,44.5,32.3333333333333,31,3,3,18,64,-356.2,0.12,7.1,7.4,0.0333333333333333,0.65,1.05666666666667,0.695,183.8,1.43333333333333,1683,41.24,51.9098594900393,15,0,0,0,0,54.82,0,0,0,80.1409032077856,-32.0507626978248,-32.0507626978248,"7MD"
828003,21,23.5,42,33,37.3333333333333,44,2.66666666666667,6,17,75.5,-335.4,0.12,7.63333333333333,8.1,1.6,1.75,1.05376666666667,0.47385,180,1.36666666666667,1623,37.08,45.5598016423044,15,0.79839778663082,0,0,8.03171926443061,59.8333333333333,8.03171926443061,0,0,93.1859558055495,-38.745757447854,-38.745757447854,"7MD"
828004,20,23.5,44.6666666666667,34,35.6666666666667,43,2.33333333333333,5.5,16.6666666666667,74.5,-349.6,0.116666666666667,7.6,8,1.6,1.85,1.17443333333333,0.58635,180,1.36666666666667,1644,39.92,49.1339887303165,15,0.414319781029679,0,0,6.11131298874377,58.8193121693122,6.11131298874377,0,0,90.4551846782853,-39.5891734086018,-39.5891734086018,"7MD"
828005,28.3333333333333,26,36.3333333333333,39,35.6666666666667,35,4.33333333333333,5,18.6666666666667,69.5,-389.6,0.166666666666667,7.63333333333333,7.9,0.0666666666666667,2.95,0.911333333333333,0.305,65.05,1.4,1800,47.92,56.6555471951939,15,0.798397786630821,0,0,10.0938704782741,52.6666666666667,4.42699069654022,10.0938704782741,0,85.70657900278,-42.3621261979738,-42.3621261979738,"7MD"
828006,23.6666666666667,25,35.3333333333333,40,41,35,4,4.5,17.6666666666667,68,-389.8,0.133333333333333,7.23333333333333,7.95,0,0.7,0.995333333333333,0.48435,158.6,1.33333333333333,1818,47.96,56.6460742182607,15,0,0,0,5.24252889752418,61.3203703703704,5.24252889752418,0,0,91.1221174872642,-47.7681917055249,-47.7681917055249,"7MD"
828007,28.3333333333333,29,40,39,32,33,5,5,19,68,-390.6,0.133333333333333,7.06666666666667,7.1,0,0,0.435566666666667,0.22,200,1.5,1817,48.12,57.5757439741552,15,0,0,0,0,52.512962962963,0,0,0,77.0721811823326,-34.6479251564878,-34.6479251564878,"7MD"
828008,25.3333333333333,25.5,35,37.5,39.3333333333333,37,4,4.5,17.3333333333333,70.5,-380.9,0.136666666666667,7.43333333333333,7.9,0,1.55,0.953333333333333,0.447,117.2,1.33333333333333,1775,46.18,54.2851722555005,15,0,0,0,4.42699069654022,59.2356458897922,4.42699069654022,0,0,88.0433439829576,-42.3285162384582,-42.3285162384582,"7MD"
828009,26.3333333333333,25,42,44.5,32.3333333333333,31,3,3,18,64,-374.4,0.12,7.06666666666667,7.4,0,0,1.08333333333333,0.695,200,1.43333333333333,1749,44.88,55.5498594900393,15,0,0,0,0,54.82,0,0,0,80.1409032077856,-35.6907626978248,-35.6907626978248,"7MD"
828010,24.3333333333333,25,35.6666666666667,37.5,40.6666666666667,38.5,3,4,17.6666666666667,70,-385.6,0.146666666666667,7.16666666666667,7.85,0,1.2,0.992233333333333,0.545,131,1.33333333333333,1786,47.12,54.6795502025206,15,0,0,0,3.65980652450137,59.4232323232323,3.65980652450137,0,0,86.9532291827301,-41.6327793852507,-41.6327793852507,"7MD"
828011,25.3333333333333,25.5,35,37.5,39.6666666666667,37,4,4.5,17.3333333333333,70,-369.2,0.156666666666667,7.36666666666667,7.85,0,1.5,1.04976666666667,0.452,117.2,1.33333333333333,1722,43.84,51.8673131442615,15,0,0,0,3.65980652450137,57.4518912529551,3.65980652450137,0,0,84.5050567907783,-36.3723699350398,-36.3723699350398,"7MD"
828012,25.3333333333333,26,37,39,37.6666666666667,35.5,4,4.5,16.6666666666667,69,-370.5,0.163333333333333,7.43333333333333,7.9,0,1.7,1.158,0.438,103.4,1.33333333333333,1745,44.1,52.8268285967999,15,0,0,0,4.42699069654022,54.9872335600907,4.42699069654022,0,0,82.5063179707375,-35.3331465675374,-35.3331465675374,"7MD"
828013,19.6666666666667,22.5,40,29,40.6666666666667,49,0,1,17,74,-379,0.12,7.33333333333333,7.85,0,0,1.18223333333333,0.699,200,1.33333333333333,1768,45.8,51.6300235908821,15,0,0,0,3.65980652450137,63.0866666666667,3.65980652450137,0,0,92.0673763989536,-43.6973999898357,-43.6973999898357,"7MD"
828014,27,26.5,35.3333333333333,37.5,38.3333333333333,35.5,4.33333333333333,4.5,17.3333333333333,70.5,-379.1,0.136666666666667,7.6,7.9,0,1.75,0.906766666666667,0.3635,103.4,1.33333333333333,1751,45.82,53.9386218762788,15,0.414319781029693,0,0,4.42699069654022,58.2052755194219,4.42699069654022,0,0,87.0129736125873,-40.9515954888661,-40.9515954888661,"7MD"
828015,26.3333333333333,25,42,44.5,32.3333333333333,31,3,3,18,64,-364.4,0.12,7.1,7.4,0.0333333333333333,0.65,1.05666666666667,0.695,183.8,1.43333333333333,1714,42.88,53.5498594900393,15,0,0,0,0,54.82,0,0,0,80.1409032077856,-33.6907626978248,-33.6907626978248,"7MD"
