"slc","ppe","egdd","esm","efm","eff","moistureDeduction","temperatureDeduction","basicClimateRating","springMoisture","fallMoisture","fallFrost","points","class"
188003,-13.1,415,24.3,60,0,0,94.25,5.75,7.43,6,0,4.977775,"7H"
432027,-16.4,954,43.8,73.4,0,0,64.6,35.4,9.38,7.34,0,29.48112,"5H"
920023,-79.8,476,8.2,55.8,0,0,91.2,8.8,5.82,5.58,0,7.7968,"7H"
691002,-269.9,1480,-12.3,-1.3,0,23.98,12,76.02,3.77,0,0,73.154046,"2A"
782006,-314.7,1597,-23.4,-28.1,0,32.94,0.299999999999983,67.06,2.66,0,0,65.276204,"2A"
300011,35.9,619,45.6,82.5,0,0,84.05,15.95,9.56,8.25,0,13.109305,"6H"
352002,-158.4,1082,3.2,42,0,1.68,51.8,48.2,5.32,4.2,0,43.61136,"4H"
278013,-136.8,857,15.6,43.6,0,0,72.15,27.85,6.56,4.36,0,24.80878,"5H"
353028,-198.4,1196,-1.5,34.4,0,9.68,40.4,59.6,4.85,3.44,0,54.65916,"3H"
1002013,-297.6,1036,-14.3,-28.9,0,29.52,56.4,43.6,3.57,0,0,42.04348,"4AH"
393041,-157.6,1230,9.1,42.4,0,1.52,37,63,5.91,4.24,0,56.6055,"3H"
376003,-194.6,1626,-13.9,6,0,8.92,0,91.08,3.61,0.6,0,87.245532,"1"
923061,-94.3,519,5.4,48.1,0,0,89.05,10.95,5.54,4.81,0,9.816675,"7H"
495003,-140.1,1692,45,14.3,0,0,0,101.98,9.5,1.43,0,90.833586,"1"
493002,-96,1512,42.3,30.8,0,0,8.79999999999998,91.2,9.23,3.08,0,79.97328,"2"
244053,-240.7,1325,-18.5,2.3,0,18.14,27.5,72.5,3.15,0.23,0,70.0495,"2AH"
781008,-307.1,1494,-36.7,-31.7,0,31.42,10.6,68.58,1.33,0,0,67.667886,"2A"
475011,76.6,1100,105.2,81.4,0,0,50,50,10,8.14,0,40.93,"4H"
276012,-116.3,815,16.6,46.1,0,0,74.25,25.75,6.66,4.61,0,22.847975,"5H"
340006,-176.1,1157,2,34,0,5.22,44.3,55.7,5.2,3.4,0,50.9098,"3H"
1007006,-414,1936,-47.7,-45.7,0,52.8,0,47.2,0.23,0,0,47.09144,"3A"
265009,-69.9,510,15,37.9,0,0,89.5,10.5,6.5,3.79,0,9.41955,"7H"
340002,-183.3,1128,3.4,36,0,6.66,47.2,52.8,5.34,3.6,0,48.07968,"3H"
378002,-124.1,1584,0,35.1,0,0,1.59999999999999,98.4,5,3.51,0,90.02616,"1"
695004,-288,1466,-19.7,-23.7,0,27.6,13.4,72.4,3.03,0,0,70.20628,"2A"
401024,-151.7,1249,12.6,47.3,0,0.339999999999996,35.1,64.9,6.26,4.73,0,57.76749,"3H"
486028,-87.6,1479,42.9,32,0,0,12.1,87.9,9.29,3.2,0,76.92129,"2"
334002,-193.3,1031,7.2,39.9,0,8.66,56.9,43.1,5.72,3.99,0,38.91499,"4H"
303003,15.3,364,31.2,63.7,0,0,96.8,3.2,8.12,6.37,0,2.73632,"7H"
555002,-232.2,2093,27.3,9.6,0,16.44,0,83.56,7.73,0.96,0,76.298636,"2A"
753008,-262.9,1587,-16.5,-14.5,0,22.58,1.29999999999998,77.42,3.35,0,0,74.82643,"2A"
329001,115.6,593,67.1,74.7,0,0,85.35,14.65,10,7.47,0,12.090645,"6H"
954029,41.1,1559,177.8,82.2,0,0,4.09999999999999,95.9,10,8.22,0,78.42702,"2"
546005,-187.7,2055,28.3,15.3,0,7.54,0,92.46,7.83,1.53,0,83.805744,"1"
432007,41,729,41.3,91.2,0,0,78.55,21.45,9.13,9.12,0,17.535375,"6H"
242011,-266.6,1227,-3.5,9.1,0,23.32,37.3,62.7,4.65,0.91,0,59.21388,"3AH"
520002,-72,1707,73.5,21,0,0,0,110.7,10,2.1,0,97.3053,"1"
173007,-104.6,473,11.1,26.9,0,0,91.35,8.65000000000001,6.11,2.69,0,7.88880000000001,"7H"
985022,-171,1135,21.8,21.9,0,4.2,46.5,53.5,7.18,2.19,0,48.48705,"3H"
990038,-133.7,720,44.3,4.8,0,0,79,21,9.43,0.48,0,18.9189,"6H"
506006,-117.4,1694,55,20.9,0,0,0,106.52,10,2.09,0,93.641732,"1"
736007,-312.5,1585,-21.6,-27.1,0,32.5,1.5,67.5,2.84,0,0,65.583,"2A"
952002,73.2,1335,150.5,115.1,0,0,26.5,73.5,10,10,0,58.8,"3H"
682013,-253.8,1330,-16,-6.1,0,20.76,27,73,3.4,0,0,70.518,"2AH"
704004,-242,1409,-9.3,0.6,0,18.4,19.1,80.9,4.07,0.06,0,77.55883,"2AH"
480010,0.1,1091,60.2,57.4,0,0,50.9,49.1,10,5.74,0,41.37166,"4H"
771003,-314.3,1488,-29.8,-34.2,0,32.86,11.2,67.14,2.02,0,0,65.783772,"2A"
917021,-148.6,604,8.5,60.4,0,0,84.8,15.2,5.85,6.04,0,13.39272,"6H"
493005,-107.7,1585,39.9,28.3,0,0,1.5,98.5,8.99,2.83,0,86.8573,"1"
129023,-22.3,336,15.2,41.7,0,0,98.2,1.8,6.52,4.17,0,1.60758,"7H"
433021,-48.3,1167,30.4,67,0,0,43.3,56.7,8.04,6.7,0,48.34242,"3H"
261013,-211.7,1066,6.5,28.7,0,12.34,53.4,46.6,5.65,2.87,0,42.62968,"4H"
9609004,-197.1,1342,-22.2,-0.2,0,9.42,25.8,74.2,2.78,0,0,72.13724,"2H"
731001,-200.8,1399,-19.3,-6.4,0,10.16,20.1,79.9,3.07,0,0,77.44707,"2H"
920028,-95.2,494,6.2,54.3,0,0,90.3,9.7,5.62,5.43,0,8.62815,"7H"
474019,152.7,1148,96.3,79.3,0,0,45.2,54.8,10,7.93,0,44.97436,"4H"
977030,-252.7,793,-17.9,-25,0,20.54,75.35,24.65,3.21,0,0,23.858735,"5AH"
252018,-145.6,1086,-11.9,13.3,0,0,51.4,48.6,3.81,1.33,0,46.10196,"3H"
977011,-358.4,969,-44.1,-51.3,0,41.68,63.1,36.9,0.59,0,0,36.68229,"4AH"
920033,-69.4,446,8.9,55.8,0,0,92.7,7.3,5.89,5.58,0,6.46269,"7H"
12004,82.4,107,25.8,58.8,0,0,109.65,-9.65000000000001,7.58,5.88,0,-8.35111000000001,"7H"
